GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015
0500000US51165,51165,"Rockingham County, Virginia",76314,76310,76367,77116,77379,77698,78137,78593
0500000US51167,51167,"Russell County, Virginia",28897,28896,28856,28652,28415,28253,28012,27891
0500000US51169,51169,"Scott County, Virginia",23177,23172,23133,22960,22790,22612,22360,22126
0500000US51171,51171,"Shenandoah County, Virginia",41993,41993,42059,42270,42610,42635,42913,43190
0500000US51173,51173,"Smyth County, Virginia",32208,32208,32187,32027,31873,31728,31572,31470
0500000US51175,51175,"Southampton County, Virginia",18570,18570,18630,18713,18584,18375,18267,18109
0500000US51177,51177,"Spotsylvania County, Virginia",122397,122660,123176,124853,126179,127748,129202,130475
0500000US51179,51179,"Stafford County, Virginia",128961,128952,129844,132261,134420,136994,140047,142003
0500000US51181,51181,"Surry County, Virginia",7058,7065,7060,6946,6854,6801,6804,6709
0500000US51183,51183,"Sussex County, Virginia",12087,12083,12014,12097,11936,11797,11763,11715
0500000US51185,51185,"Tazewell County, Virginia",45078,45078,45147,44677,44247,44091,43436,42899
0500000US51187,51187,"Warren County, Virginia",37575,37431,37514,37665,37993,38637,39028,39083
0500000US51191,51191,"Washington County, Virginia",54876,54870,54893,54744,55055,54744,54663,54591
0500000US51193,51193,"Westmoreland County, Virginia",17454,17454,17451,17626,17512,17557,17462,17629
0500000US51195,51195,"Wise County, Virginia",41452,41476,41616,41427,40889,40664,39952,39718
0500000US51197,51197,"Wythe County, Virginia",29235,29232,29226,29185,29297,29290,29060,29119
0500000US51199,51199,"York County, Virginia",65464,65191,65209,65884,65890,66126,66616,67837
0500000US51510,51510,"Alexandria city, Virginia",139966,140006,140833,144579,147227,149819,151440,153511
0500000US51520,51520,"Bristol city, Virginia",17835,17841,17853,17815,17812,17515,17339,17141
0500000US51530,51530,"Buena Vista city, Virginia",6650,6651,6646,6722,6760,6647,6583,6618
0500000US51540,51540,"Charlottesville city, Virginia",43475,43435,43515,43721,44483,44995,45622,46597
0500000US51550,51550,"Chesapeake city, Virginia",222209,222209,223520,225352,228231,230515,233479,235429
0500000US51570,51570,"Colonial Heights city, Virginia",17411,17413,17363,17291,17384,17504,17575,17820
0500000US51580,51580,"Covington city, Virginia",5961,5954,5953,5826,5758,5742,5696,5658
0500000US51590,51590,"Danville city, Virginia",43055,43059,42914,42526,42693,42669,42280,42082
0500000US51595,51595,"Emporia city, Virginia",5927,5927,5934,5812,5795,5664,5592,5496
0500000US51600,51600,"Fairfax city, Virginia",22565,22542,22595,22696,23109,23496,23694,24013
0500000US51610,51610,"Falls Church city, Virginia",12332,12289,12440,12711,13095,13359,13481,13892
0500000US51620,51620,"Franklin city, Virginia",8582,8580,8593,8406,8436,8531,8423,8490
0500000US51630,51630,"Fredericksburg city, Virginia",24286,24023,24202,25641,27097,27816,28305,28118
0500000US51640,51640,"Galax city, Virginia",7042,6989,7009,6803,6838,6914,6912,6914
0500000US51650,51650,"Hampton city, Virginia",137436,137510,137448,136601,137163,137376,137813,136454
0500000US51660,51660,"Harrisonburg city, Virginia",48914,48907,49048,49757,51100,51288,52258,52538
0500000US51670,51670,"Hopewell city, Virginia",22591,22591,22634,22471,22276,22131,22137,22378
0500000US51678,51678,"Lexington city, Virginia",7042,7038,7060,6897,6953,7096,7149,7262
0500000US51680,51680,"Lynchburg city, Virginia",75568,75608,75703,76607,77477,78266,78627,79812
0500000US51683,51683,"Manassas city, Virginia",37821,37839,38267,39155,40336,41097,41363,41764
0500000US51685,51685,"Manassas Park city, Virginia",14273,14241,14439,15176,15475,15941,15805,15726
0500000US51690,51690,"Martinsville city, Virginia",13821,13821,13729,13710,13630,13583,13552,13645
0500000US51700,51700,"Newport News city, Virginia",180719,180911,180891,180136,180098,181496,182499,182385
0500000US51710,51710,"Norfolk city, Virginia",242803,242831,242893,243578,245920,245169,246199,246393
0500000US51720,51720,"Norton city, Virginia",3958,3951,3969,4015,4046,4014,4023,3939
0500000US51730,51730,"Petersburg city, Virginia",32420,32420,32507,31931,31843,32117,32245,32477
0500000US51735,51735,"Poquoson city, Virginia",12150,12157,12147,12048,12126,12116,12034,12059
0500000US51740,51740,"Portsmouth city, Virginia",95535,95535,95484,95809,96548,96162,95955,96201
0500000US51750,51750,"Radford city, Virginia",16408,16408,16450,16770,16646,17075,17390,17403
0500000US51760,51760,"Richmond city, Virginia",204214,204175,204151,206622,210921,213931,216910,220289
0500000US51770,51770,"Roanoke city, Virginia",97032,96919,96778,96874,98087,99047,99774,99897
0500000US51775,51775,"Salem city, Virginia",24802,24848,24916,24847,25009,25187,25350,25432
0500000US51790,51790,"Staunton city, Virginia",23746,23746,23833,24040,23867,24214,24427,24416
0500000US51800,51800,"Suffolk city, Virginia",84585,84596,84876,84793,85238,85786,86944,88161
0500000US51810,51810,"Virginia Beach city, Virginia",437994,437966,439038,442976,445728,449120,450879,452745
0500000US51820,51820,"Waynesboro city, Virginia",21006,21020,21038,21020,20989,21064,21186,21491
0500000US51830,51830,"Williamsburg city, Virginia",14068,13673,13694,14320,14710,14851,14837,15052
0500000US51840,51840,"Winchester city, Virginia",26203,26201,26162,26704,27088,27380,27383,27284
