DATEMONTHINT,STATION,PERIOD,RIDERS_PER_WEEKDAY,
201109,Greenbelt,Late Night Peak,10.3,
201109,Greenbelt,Midday,1307.5,
201109,Greenbelt,PM Peak,951.4,
201109,Grosvenor,AM Peak,3893.7,
201109,Grosvenor,Evening,270.1,
201109,Grosvenor,Late Night Peak,7.1,
201109,Grosvenor,Midday,895.8,
201109,Grosvenor,PM Peak,745.9,
201109,Huntington,AM Peak,6440,
201109,Huntington,Evening,315.1,
201109,Huntington,Late Night Peak,12,
201109,Huntington,Midday,1370.5,
201109,Huntington,PM Peak,881,
201109,Judiciary Square,AM Peak,517.5,
201109,Judiciary Square,Evening,886,
201109,Judiciary Square,Late Night Peak,19.8,
201109,Judiciary Square,Midday,2135.7,
201109,Judiciary Square,PM Peak,6057.1,
201109,King Street,AM Peak,2968.7,
201109,King Street,Evening,1124.4,
201109,King Street,Late Night Peak,44.1,
201109,King Street,Midday,1749.9,
201109,King Street,PM Peak,2917.5,
201109,L'Enfant Plaza,AM Peak,2960.9,
201109,L'Enfant Plaza,Evening,1608.1,
201109,L'Enfant Plaza,Late Night Peak,20.5,
201109,L'Enfant Plaza,Midday,3538.9,
201109,L'Enfant Plaza,PM Peak,12899.7,
201109,Landover,AM Peak,1704.1,
201109,Landover,Evening,132.8,
201109,Landover,Late Night Peak,4.8,
201109,Landover,Midday,438.4,
201109,Landover,PM Peak,228.2,
201109,Largo Town Center,AM Peak,3169.5,
201109,Largo Town Center,Evening,351.4,
201109,Largo Town Center,Late Night Peak,12.8,
201109,Largo Town Center,Midday,867,
201109,Largo Town Center,PM Peak,603.9,
201109,McPherson Square,AM Peak,1633.4,
201109,McPherson Square,Evening,2270.1,
201109,McPherson Square,Late Night Peak,77,
201109,McPherson Square,Midday,2699.6,
201109,McPherson Square,PM Peak,9777.7,
201109,Medical Center,AM Peak,981.1,
201109,Medical Center,Evening,731,
201109,Medical Center,Late Night Peak,6.2,
201109,Medical Center,Midday,1062.7,
201109,Medical Center,PM Peak,3812,
201109,Metro Center,AM Peak,1604,
201109,Metro Center,Evening,5644.3,
201109,Metro Center,Late Night Peak,162.6,
201109,Metro Center,Midday,4812.8,
201109,Metro Center,PM Peak,15675,
201109,Minnesota Avenue,AM Peak,1166.5,
201109,Minnesota Avenue,Evening,310.8,
201109,Minnesota Avenue,Late Night Peak,12.8,
201109,Minnesota Avenue,Midday,762.2,
201109,Minnesota Avenue,PM Peak,896.1,
201109,Morgan Blvd.,AM Peak,1206.4,
201109,Morgan Blvd.,Evening,247.7,
201109,Morgan Blvd.,Late Night Peak,4.9,
201109,Morgan Blvd.,Midday,322.9,
201109,Morgan Blvd.,PM Peak,218.2,
201109,Mt. Vernon Square-UDC,AM Peak,1066.9,
201109,Mt. Vernon Square-UDC,Evening,598.2,
201109,Mt. Vernon Square-UDC,Late Night Peak,37.3,
201109,Mt. Vernon Square-UDC,Midday,684.5,
201109,Mt. Vernon Square-UDC,PM Peak,1184.3,
201109,Navy Yard,AM Peak,990.9,
201109,Navy Yard,Evening,2121.1,
201109,Navy Yard,Late Night Peak,25.2,
201109,Navy Yard,Midday,1153.5,
201109,Navy Yard,PM Peak,3760.9,
201109,Naylor Road,AM Peak,1853.1,
201109,Naylor Road,Evening,239.4,
201109,Naylor Road,Late Night Peak,13.5,
201109,Naylor Road,Midday,648,
201109,Naylor Road,PM Peak,401,
201109,New Carrollton,AM Peak,6625.4,
201109,New Carrollton,Evening,467.5,
201109,New Carrollton,Late Night Peak,12.1,
201109,New Carrollton,Midday,1667.9,
201109,New Carrollton,PM Peak,1258.4,
201109,New York Ave,AM Peak,1598.8,
201109,New York Ave,Evening,722.8,
201109,New York Ave,Late Night Peak,42.9,
201109,New York Ave,Midday,1662.2,
201109,New York Ave,PM Peak,3684,
201109,Pentagon,AM Peak,6722.2,
201109,Pentagon,Evening,703.9,
201109,Pentagon,Late Night Peak,4.9,
201109,Pentagon,Midday,3310.9,
201109,Pentagon,PM Peak,6730.2,
201109,Pentagon City,AM Peak,5867.9,
201109,Pentagon City,Evening,2350.4,
201109,Pentagon City,Late Night Peak,25.4,
201109,Pentagon City,Midday,3474.4,
201109,Pentagon City,PM Peak,4367,
201109,Potomac Avenue,AM Peak,2037.5,
201109,Potomac Avenue,Evening,334.1,
201109,Potomac Avenue,Late Night Peak,16.5,
201109,Potomac Avenue,Midday,841.4,
201109,Potomac Avenue,PM Peak,648.4,
201109,Prince George's Plaza,AM Peak,2218.3,
201109,Prince George's Plaza,Evening,653.8,
201109,Prince George's Plaza,Late Night Peak,40.7,
201109,Prince George's Plaza,Midday,1265.8,
201109,Prince George's Plaza,PM Peak,1189.7,
201109,Reagan Washington National Airport,AM Peak,743.8,
201109,Reagan Washington National Airport,Evening,1456.1,
201109,Reagan Washington National Airport,Late Night Peak,23,
201109,Reagan Washington National Airport,Midday,1957.3,
201109,Reagan Washington National Airport,PM Peak,1851.9,
201109,Rhode Island Avenue,AM Peak,2242,
201109,Rhode Island Avenue,Evening,488.4,
201109,Rhode Island Avenue,Late Night Peak,11.8,
201109,Rhode Island Avenue,Midday,1298.1,
201109,Rhode Island Avenue,PM Peak,1186.7,
201109,Rockville,AM Peak,2425.2,
201109,Rockville,Evening,403,
201109,Rockville,Late Night Peak,10.3,
201109,Rockville,Midday,1032.8,
201109,Rockville,PM Peak,1060.9,
201109,Rosslyn,AM Peak,4503,
201109,Rosslyn,Evening,1722,
201109,Rosslyn,Late Night Peak,46.3,
201109,Rosslyn,Midday,3301.3,
201109,Rosslyn,PM Peak,6862,
201109,Shady Grove,AM Peak,10011,
201109,Shady Grove,Evening,438,
201109,Shady Grove,Late Night Peak,12.3,
201109,Shady Grove,Midday,2057.8,
201109,Shady Grove,PM Peak,1335.6,
201109,Shaw-Howard University,AM Peak,1334.8,
201109,Shaw-Howard University,Evening,717.9,
201109,Shaw-Howard University,Late Night Peak,46.6,
201109,Shaw-Howard University,Midday,1328.1,
201109,Shaw-Howard University,PM Peak,1873.3,
201109,Silver Spring,AM Peak,6173.7,
201109,Silver Spring,Evening,1235.3,
201109,Silver Spring,Late Night Peak,49.3,
201109,Silver Spring,Midday,2826,
201109,Silver Spring,PM Peak,3234.5,
201109,Smithsonian,AM Peak,337.2,
201109,Smithsonian,Evening,1003.4,
201109,Smithsonian,Late Night Peak,15,
201109,Smithsonian,Midday,2290.3,
201109,Smithsonian,PM Peak,7053.1,
201109,Southern Avenue,AM Peak,3969.7,
201109,Southern Avenue,Evening,324.3,
201109,Southern Avenue,Late Night Peak,10.6,
201109,Southern Avenue,Midday,1055.1,
201109,Southern Avenue,PM Peak,585.2,
201109,Stadium-Armory,AM Peak,1090.6,
201109,Stadium-Armory,Evening,442.9,
201109,Stadium-Armory,Late Night Peak,149.6,
201109,Stadium-Armory,Midday,661.3,
201109,Stadium-Armory,PM Peak,753.6,
201109,Suitland,AM Peak,3767.9,
201109,Suitland,Evening,372.6,
201109,Suitland,Late Night Peak,14.4,
201109,Suitland,Midday,1112.9,
201109,Suitland,PM Peak,1204.3,
201109,Takoma,AM Peak,3412.1,
201109,Takoma,Evening,438.9,
201109,Takoma,Late Night Peak,17.3,
201109,Takoma,Midday,1334.6,
201109,Takoma,PM Peak,969.6,
201109,Tenleytown-AU,AM Peak,1942.8,
201109,Tenleytown-AU,Evening,1549.5,
201109,Tenleytown-AU,Late Night Peak,31.5,
201109,Tenleytown-AU,Midday,1675.6,
201109,Tenleytown-AU,PM Peak,3080.4,
201109,Twinbrook,AM Peak,2377.5,
201109,Twinbrook,Evening,306.8,
201109,Twinbrook,Late Night Peak,7.6,
201109,Twinbrook,Midday,944.3,
201109,Twinbrook,PM Peak,1034,
201109,U Street-Cardozo,AM Peak,1957.4,
201109,U Street-Cardozo,Evening,1606.4,
201109,U Street-Cardozo,Late Night Peak,371.1,
201109,U Street-Cardozo,Midday,1286.9,
201109,U Street-Cardozo,PM Peak,1677,
201109,Union Station,AM Peak,10097.1,
201109,Union Station,Evening,4367.4,
201109,Union Station,Late Night Peak,99.1,
201109,Union Station,Midday,6126,
201109,Union Station,PM Peak,12544.2,
201109,Van Dorn Street,AM Peak,2351.3,
201109,Van Dorn Street,Evening,202.8,
201109,Van Dorn Street,Late Night Peak,10.2,
201109,Van Dorn Street,Midday,619.4,
201109,Van Dorn Street,PM Peak,475.6,
201109,Van Ness-UDC,AM Peak,2864.2,
201109,Van Ness-UDC,Evening,928.4,
201109,Van Ness-UDC,Late Night Peak,16,
201109,Van Ness-UDC,Midday,1732.6,
201109,Van Ness-UDC,PM Peak,1802.3,
201109,Vienna,AM Peak,10007.1,
201109,Vienna,Evening,621.8,
201109,Vienna,Late Night Peak,13.6,
201109,Vienna,Midday,1858.5,
201109,Vienna,PM Peak,1422.8,
201109,Virginia Square-GMU,AM Peak,1785.1,
201109,Virginia Square-GMU,Evening,413.6,
201109,Virginia Square-GMU,Late Night Peak,8,
201109,Virginia Square-GMU,Midday,692.8,
201109,Virginia Square-GMU,PM Peak,1108.5,
201109,Waterfront,AM Peak,1339.2,
201109,Waterfront,Evening,602.2,
201109,Waterfront,Late Night Peak,22.2,
201109,Waterfront,Midday,1022.1,
201109,Waterfront,PM Peak,1282.8,
201109,West Falls Church,AM Peak,7019.1,
201109,West Falls Church,Evening,557.5,
201109,West Falls Church,Late Night Peak,5.2,
201109,West Falls Church,Midday,1552.1,
201109,West Falls Church,PM Peak,1720.2,
201109,West Hyattsville,AM Peak,2148.8,
201109,West Hyattsville,Evening,249,
201109,West Hyattsville,Late Night Peak,10.6,
201109,West Hyattsville,Midday,839.8,
201109,West Hyattsville,PM Peak,575.9,
201109,Wheaton,AM Peak,2275.3,
201109,Wheaton,Evening,432.1,
201109,Wheaton,Late Night Peak,8.6,
201109,Wheaton,Midday,934.4,
201109,Wheaton,PM Peak,714.6,
201109,White Flint,AM Peak,1725.4,
201109,White Flint,Evening,341.7,
201109,White Flint,Late Night Peak,9.4,
201109,White Flint,Midday,796.8,
201109,White Flint,PM Peak,1376.6,
201109,Woodley Park-Zoo,AM Peak,2818.6,
201109,Woodley Park-Zoo,Evening,880,
201109,Woodley Park-Zoo,Late Night Peak,148.3,
201109,Woodley Park-Zoo,Midday,1623.1,
201109,Woodley Park-Zoo,PM Peak,1530.2,
201110,Addison Road,AM Peak,2195,
201110,Addison Road,Evening,199,
201110,Addison Road,Late Night Peak,5.2,
201110,Addison Road,Midday,707.9,
201110,Addison Road,PM Peak,349.7,
201110,Anacostia,AM Peak,3221.9,
201110,Anacostia,Evening,627.7,
201110,Anacostia,Late Night Peak,18,
201110,Anacostia,Midday,2057.6,
201110,Anacostia,PM Peak,1754.1,
201110,Archives-Navy Memorial,AM Peak,382.5,
201110,Archives-Navy Memorial,Evening,1229.5,
201110,Archives-Navy Memorial,Late Night Peak,62.2,
201110,Archives-Navy Memorial,Midday,1600.2,
201110,Archives-Navy Memorial,PM Peak,5994.7,
201110,Arlington Cemetery,AM Peak,17.2,
201110,Arlington Cemetery,Evening,4.8,
201110,Arlington Cemetery,Midday,616.4,
201110,Arlington Cemetery,PM Peak,580.9,
201110,Ballston,AM Peak,4688.5,
201110,Ballston,Evening,1292.5,
201110,Ballston,Late Night Peak,36.7,
201110,Ballston,Midday,2278.6,
201110,Ballston,PM Peak,3977.1,
201110,Benning Road,AM Peak,1681.5,
201110,Benning Road,Evening,256.2,
201110,Benning Road,Late Night Peak,9.4,
201110,Benning Road,Midday,814.5,
201110,Benning Road,PM Peak,516.3,
201110,Bethesda,AM Peak,3445.3,
201110,Bethesda,Evening,1503.3,
201110,Bethesda,Late Night Peak,63.7,
201110,Bethesda,Midday,2205.4,
201110,Bethesda,PM Peak,3756.7,
201110,Braddock Road,AM Peak,2729.2,
201110,Braddock Road,Evening,253.8,
201110,Braddock Road,Late Night Peak,7.5,
201110,Braddock Road,Midday,764,
201110,Braddock Road,PM Peak,816.9,
201110,Branch Avenue,AM Peak,5092.2,
201110,Branch Avenue,Evening,226.3,
201110,Branch Avenue,Late Night Peak,5.5,
201110,Branch Avenue,Midday,962.5,
201110,Branch Avenue,PM Peak,566.6,
201110,Brookland,AM Peak,2159.5,
201110,Brookland,Evening,1038.5,
201110,Brookland,Late Night Peak,17.6,
201110,Brookland,Midday,1847.5,
201110,Brookland,PM Peak,2766.1,
201110,Capitol Heights,AM Peak,1258.7,
201110,Capitol Heights,Evening,131.8,
201110,Capitol Heights,Late Night Peak,4.3,
201110,Capitol Heights,Midday,455.2,
201110,Capitol Heights,PM Peak,275.5,
201110,Capitol South,AM Peak,885.7,
201110,Capitol South,Evening,1137.8,
201110,Capitol South,Late Night Peak,21.4,
201110,Capitol South,Midday,1890,
201110,Capitol South,PM Peak,4702.9,
201110,Cheverly,AM Peak,1021,
201110,Cheverly,Evening,73.8,
201110,Cheverly,Late Night Peak,1,
201110,Cheverly,Midday,286.7,
201110,Cheverly,PM Peak,175.6,
201110,Clarendon,AM Peak,1871.2,
201110,Clarendon,Evening,854,
201110,Clarendon,Late Night Peak,129.7,
201110,Clarendon,Midday,814.4,
201110,Clarendon,PM Peak,1111.9,
201110,Cleveland Park,AM Peak,2465.6,
201110,Cleveland Park,Evening,558.7,
201110,Cleveland Park,Late Night Peak,19.3,
201110,Cleveland Park,Midday,1028.7,
201110,Cleveland Park,PM Peak,704.7,
201110,College Park-U of MD,AM Peak,2012.9,
201110,College Park-U of MD,Evening,577.6,
201110,College Park-U of MD,Late Night Peak,19.8,
201110,College Park-U of MD,Midday,1164.2,
201110,College Park-U of MD,PM Peak,1369.1,
201110,Columbia Heights,AM Peak,4302.2,
201110,Columbia Heights,Evening,1940.9,
201110,Columbia Heights,Late Night Peak,77.7,
201110,Columbia Heights,Midday,2925.5,
201110,Columbia Heights,PM Peak,3429.8,
201110,Congress Heights,AM Peak,1469.6,
201110,Congress Heights,Evening,229.5,
201110,Congress Heights,Late Night Peak,13.1,
201110,Congress Heights,Midday,708.2,
201110,Congress Heights,PM Peak,520.5,
201110,Court House,AM Peak,3411,
201110,Court House,Evening,691.4,
201110,Court House,Late Night Peak,26.1,
201110,Court House,Midday,1494,
201110,Court House,PM Peak,2094.8,
201110,Crystal City,AM Peak,4542.6,
201110,Crystal City,Evening,1070.1,
201110,Crystal City,Late Night Peak,26.3,
201110,Crystal City,Midday,3099.4,
201110,Crystal City,PM Peak,5910.8,
201110,Deanwood,AM Peak,950.6,
201110,Deanwood,Evening,142,
201110,Deanwood,Late Night Peak,7,
201110,Deanwood,Midday,459.3,
201110,Deanwood,PM Peak,328.6,
201110,Dunn Loring,AM Peak,3037.9,
201110,Dunn Loring,Evening,289,
201110,Dunn Loring,Late Night Peak,8,
201110,Dunn Loring,Midday,1011.1,
201110,Dunn Loring,PM Peak,1010.5,
201110,Dupont Circle,AM Peak,4463.2,
201110,Dupont Circle,Evening,5067.3,
201110,Dupont Circle,Late Night Peak,339.9,
201110,Dupont Circle,Midday,4401.1,
201110,Dupont Circle,PM Peak,8625.9,
201110,East Falls Church,AM Peak,2682,
201110,East Falls Church,Evening,278.8,
201110,East Falls Church,Late Night Peak,8.6,
201110,East Falls Church,Midday,691.3,
201110,East Falls Church,PM Peak,603.6,
201110,Eastern Market,AM Peak,2334,
201110,Eastern Market,Evening,843.3,
201110,Eastern Market,Late Night Peak,35.2,
201110,Eastern Market,Midday,1391.3,
201110,Eastern Market,PM Peak,1686.6,
201110,Eisenhower Avenue,AM Peak,934.8,
201110,Eisenhower Avenue,Evening,166.9,
201110,Eisenhower Avenue,Late Night Peak,12,
201110,Eisenhower Avenue,Midday,411.1,
201110,Eisenhower Avenue,PM Peak,565.3,
201110,Farragut North,AM Peak,1146.8,
201110,Farragut North,Evening,4206.2,
201110,Farragut North,Late Night Peak,111.1,
201110,Farragut North,Midday,3862.6,
201110,Farragut North,PM Peak,14972.1,
201110,Farragut West,AM Peak,1329.4,
201110,Farragut West,Evening,3899.7,
201110,Farragut West,Late Night Peak,111.1,
201110,Farragut West,Midday,3518.1,
201110,Farragut West,PM Peak,13890.3,
201110,Federal Center SW,AM Peak,440.3,
201110,Federal Center SW,Evening,500.1,
201110,Federal Center SW,Late Night Peak,4.7,
201110,Federal Center SW,Midday,1158.3,
201110,Federal Center SW,PM Peak,4332.5,
201110,Federal Triangle,AM Peak,222.3,
201110,Federal Triangle,Evening,1007.9,
201110,Federal Triangle,Late Night Peak,14.1,
201110,Federal Triangle,Midday,1734.7,
201110,Federal Triangle,PM Peak,7109.6,
201110,Foggy Bottom,AM Peak,2362.8,
201110,Foggy Bottom,Evening,5363.5,
201110,Foggy Bottom,Late Night Peak,143.9,
201110,Foggy Bottom,Midday,4348.9,
201110,Foggy Bottom,PM Peak,11124.5,
201110,Forest Glen,AM Peak,1673.7,
201110,Forest Glen,Evening,96.7,
201110,Forest Glen,Late Night Peak,2.4,
201110,Forest Glen,Midday,357.2,
201110,Forest Glen,PM Peak,273.7,
201110,Fort Totten,AM Peak,3866.3,
201110,Fort Totten,Evening,624.1,
201110,Fort Totten,Late Night Peak,23.7,
201110,Fort Totten,Midday,1643,
201110,Fort Totten,PM Peak,1472.9,
201110,Franconia-Springfield,AM Peak,6587.2,
201110,Franconia-Springfield,Evening,352.7,
201110,Franconia-Springfield,Late Night Peak,7,
201110,Franconia-Springfield,Midday,1574.4,
201110,Franconia-Springfield,PM Peak,988.6,
201110,Friendship Heights,AM Peak,3440.6,
201110,Friendship Heights,Evening,1343.6,
201110,Friendship Heights,Late Night Peak,33.2,
201110,Friendship Heights,Midday,2253.8,
201110,Friendship Heights,PM Peak,2846.6,
201110,Gallery Place-Chinatown,AM Peak,1799.6,
201110,Gallery Place-Chinatown,Evening,7309,
201110,Gallery Place-Chinatown,Late Night Peak,379.9,
201110,Gallery Place-Chinatown,Midday,4432.7,
201110,Gallery Place-Chinatown,PM Peak,12278.7,
201110,Georgia Avenue-Petworth,AM Peak,2527,
201110,Georgia Avenue-Petworth,Evening,699.7,
201110,Georgia Avenue-Petworth,Late Night Peak,33.8,
201110,Georgia Avenue-Petworth,Midday,1449.5,
201110,Georgia Avenue-Petworth,PM Peak,1446.6,
201110,Glenmont,AM Peak,4188.2,
201110,Glenmont,Evening,210.6,
201110,Glenmont,Late Night Peak,7.9,
201110,Glenmont,Midday,930.8,
201110,Glenmont,PM Peak,521.3,
201110,Greenbelt,AM Peak,4298.1,
201110,Greenbelt,Evening,421,
201110,Greenbelt,Late Night Peak,10.5,
201110,Greenbelt,Midday,1368,
201110,Greenbelt,PM Peak,936.6,
201110,Grosvenor,AM Peak,3959.3,
201110,Grosvenor,Evening,282.8,
201110,Grosvenor,Late Night Peak,9.7,
201110,Grosvenor,Midday,916.5,
201110,Grosvenor,PM Peak,727,
201110,Huntington,AM Peak,6597.6,
201110,Huntington,Evening,297.8,
201110,Huntington,Late Night Peak,8.2,
201110,Huntington,Midday,1432.4,
201110,Huntington,PM Peak,850.4,
201110,Judiciary Square,AM Peak,537.1,
201110,Judiciary Square,Evening,897,
201110,Judiciary Square,Late Night Peak,21.3,
201110,Judiciary Square,Midday,2186.2,
201110,Judiciary Square,PM Peak,6189.3,
201110,King Street,AM Peak,3084.7,
201110,King Street,Evening,1101.1,
201110,King Street,Late Night Peak,34.8,
201110,King Street,Midday,1896.2,
201110,King Street,PM Peak,3005.4,
201110,L'Enfant Plaza,AM Peak,3117.8,
201110,L'Enfant Plaza,Evening,1605.7,
201110,L'Enfant Plaza,Late Night Peak,24.5,
201110,L'Enfant Plaza,Midday,3615.2,
201110,L'Enfant Plaza,PM Peak,13251.9,
201110,Landover,AM Peak,1703.8,
201110,Landover,Evening,132,
201110,Landover,Late Night Peak,5.1,
201110,Landover,Midday,439.4,
201110,Landover,PM Peak,227.4,
201110,Largo Town Center,AM Peak,3204.1,
201110,Largo Town Center,Evening,339,
201110,Largo Town Center,Late Night Peak,10.7,
201110,Largo Town Center,Midday,863.6,
201110,Largo Town Center,PM Peak,588.8,
201110,McPherson Square,AM Peak,1659.7,
201110,McPherson Square,Evening,2420.9,
201110,McPherson Square,Late Night Peak,77.6,
201110,McPherson Square,Midday,2870.5,
201110,McPherson Square,PM Peak,10189.6,
201110,Medical Center,AM Peak,1022.3,
201110,Medical Center,Evening,743,
201110,Medical Center,Late Night Peak,6,
201110,Medical Center,Midday,1075.2,
201110,Medical Center,PM Peak,3854.1,
201110,Metro Center,AM Peak,1658.8,
201110,Metro Center,Evening,5947.8,
201110,Metro Center,Late Night Peak,132.8,
201110,Metro Center,Midday,5115.1,
201110,Metro Center,PM Peak,16584.1,
201110,Minnesota Avenue,AM Peak,1180.5,
201110,Minnesota Avenue,Evening,320.6,
201110,Minnesota Avenue,Late Night Peak,14.1,
201110,Minnesota Avenue,Midday,846.3,
201110,Minnesota Avenue,PM Peak,909.9,
201110,Morgan Blvd.,AM Peak,1225.3,
201110,Morgan Blvd.,Evening,83.2,
201110,Morgan Blvd.,Late Night Peak,1.2,
201110,Morgan Blvd.,Midday,329.1,
201110,Morgan Blvd.,PM Peak,221.9,
201110,Mt. Vernon Square-UDC,AM Peak,1214.1,
201110,Mt. Vernon Square-UDC,Evening,759,
201110,Mt. Vernon Square-UDC,Late Night Peak,33.1,
201110,Mt. Vernon Square-UDC,Midday,1163.4,
201110,Mt. Vernon Square-UDC,PM Peak,1772.4,
201110,Navy Yard,AM Peak,1014.6,
201110,Navy Yard,Evening,462.6,
201110,Navy Yard,Late Night Peak,10.6,
201110,Navy Yard,Midday,1131.3,
201110,Navy Yard,PM Peak,3680.9,
201110,Naylor Road,AM Peak,1843.9,
201110,Naylor Road,Evening,236.1,
201110,Naylor Road,Late Night Peak,12.8,
201110,Naylor Road,Midday,666.7,
201110,Naylor Road,PM Peak,402.8,
201110,New Carrollton,AM Peak,6727.1,
201110,New Carrollton,Evening,449.8,
201110,New Carrollton,Late Night Peak,13.1,
201110,New Carrollton,Midday,1723.1,
201110,New Carrollton,PM Peak,1226.7,
201110,New York Ave,AM Peak,1680.8,
201110,New York Ave,Evening,717.1,
201110,New York Ave,Late Night Peak,56,
201110,New York Ave,Midday,1735.9,
201110,New York Ave,PM Peak,3740.1,
201110,Pentagon,AM Peak,6889.1,
201110,Pentagon,Evening,689.4,
201110,Pentagon,Late Night Peak,3.5,
201110,Pentagon,Midday,3302.7,
201110,Pentagon,PM Peak,7059.2,
201110,Pentagon City,AM Peak,5992.5,
201110,Pentagon City,Evening,2391,
201110,Pentagon City,Late Night Peak,21.6,
201110,Pentagon City,Midday,3678.4,
201110,Pentagon City,PM Peak,4507.8,
201110,Potomac Avenue,AM Peak,2129.2,
201110,Potomac Avenue,Evening,342.6,
201110,Potomac Avenue,Late Night Peak,13.3,
201110,Potomac Avenue,Midday,899.8,
201110,Potomac Avenue,PM Peak,656,
201110,Prince George's Plaza,AM Peak,2207.9,
201110,Prince George's Plaza,Evening,665.6,
201110,Prince George's Plaza,Late Night Peak,25.7,
201110,Prince George's Plaza,Midday,1278.7,
201110,Prince George's Plaza,PM Peak,1249.6,
201110,Reagan Washington National Airport,AM Peak,792.6,
201110,Reagan Washington National Airport,Evening,1482.8,
201110,Reagan Washington National Airport,Late Night Peak,24.8,
201110,Reagan Washington National Airport,Midday,2181.7,
201110,Reagan Washington National Airport,PM Peak,2067.8,
201110,Rhode Island Avenue,AM Peak,2274.9,
201110,Rhode Island Avenue,Evening,474.1,
201110,Rhode Island Avenue,Late Night Peak,9.7,
201110,Rhode Island Avenue,Midday,1336.3,
201110,Rhode Island Avenue,PM Peak,1262.8,
201110,Rockville,AM Peak,2477.9,
201110,Rockville,Evening,393.4,
201110,Rockville,Late Night Peak,8.3,
201110,Rockville,Midday,1011,
201110,Rockville,PM Peak,1080.4,
201110,Rosslyn,AM Peak,4636.3,
201110,Rosslyn,Evening,1845.8,
201110,Rosslyn,Late Night Peak,44.6,
201110,Rosslyn,Midday,3563.7,
201110,Rosslyn,PM Peak,7060.9,
201110,Shady Grove,AM Peak,10202.4,
201110,Shady Grove,Evening,441.1,
201110,Shady Grove,Late Night Peak,5.4,
201110,Shady Grove,Midday,2112.6,
201110,Shady Grove,PM Peak,1320,
201110,Shaw-Howard University,AM Peak,1347.2,
201110,Shaw-Howard University,Evening,734.3,
201110,Shaw-Howard University,Late Night Peak,34.8,
201110,Shaw-Howard University,Midday,1326,
201110,Shaw-Howard University,PM Peak,1851.8,
201110,Silver Spring,AM Peak,6234.6,
201110,Silver Spring,Evening,1238.4,
201110,Silver Spring,Late Night Peak,56.3,
201110,Silver Spring,Midday,2857.6,
201110,Silver Spring,PM Peak,3328,
201110,Smithsonian,AM Peak,346.6,
201110,Smithsonian,Evening,828.2,
201110,Smithsonian,Late Night Peak,11.9,
201110,Smithsonian,Midday,2345.5,
201110,Smithsonian,PM Peak,7575.9,
201110,Southern Avenue,AM Peak,4022.4,
201110,Southern Avenue,Evening,328.3,
201110,Southern Avenue,Late Night Peak,10.4,
201110,Southern Avenue,Midday,1075.6,
201110,Southern Avenue,PM Peak,602.3,
201110,Stadium-Armory,AM Peak,1118.6,
201110,Stadium-Armory,Evening,486.1,
201110,Stadium-Armory,Late Night Peak,9.8,
201110,Stadium-Armory,Midday,921.8,
201110,Stadium-Armory,PM Peak,1071.5,
201110,Suitland,AM Peak,3801.6,
201110,Suitland,Evening,356.7,
201110,Suitland,Late Night Peak,9.6,
201110,Suitland,Midday,1125.5,
201110,Suitland,PM Peak,1237.9,
201110,Takoma,AM Peak,3500,
201110,Takoma,Evening,444.4,
201110,Takoma,Late Night Peak,17.6,
201110,Takoma,Midday,1358.2,
201110,Takoma,PM Peak,953.2,
201110,Tenleytown-AU,AM Peak,2010.4,
201110,Tenleytown-AU,Evening,1551.8,
201110,Tenleytown-AU,Late Night Peak,30,
201110,Tenleytown-AU,Midday,1805.6,
201110,Tenleytown-AU,PM Peak,3118.6,
201110,Twinbrook,AM Peak,2384.7,
201110,Twinbrook,Evening,304.5,
201110,Twinbrook,Late Night Peak,6,
201110,Twinbrook,Midday,971.2,
201110,Twinbrook,PM Peak,1051.8,
201110,U Street-Cardozo,AM Peak,2004.8,
201110,U Street-Cardozo,Evening,1582.8,
201110,U Street-Cardozo,Late Night Peak,225.3,
201110,U Street-Cardozo,Midday,1338.5,
201110,U Street-Cardozo,PM Peak,1684.7,
201110,Union Station,AM Peak,10320.3,
201110,Union Station,Evening,4372.9,
201110,Union Station,Late Night Peak,100.5,
201110,Union Station,Midday,6245.4,
201110,Union Station,PM Peak,12920.5,
201110,Van Dorn Street,AM Peak,2416.3,
201110,Van Dorn Street,Evening,206.4,
201110,Van Dorn Street,Late Night Peak,7.1,
201110,Van Dorn Street,Midday,646,
201110,Van Dorn Street,PM Peak,462.6,
201110,Van Ness-UDC,AM Peak,2943.8,
201110,Van Ness-UDC,Evening,908,
201110,Van Ness-UDC,Late Night Peak,17.6,
201110,Van Ness-UDC,Midday,1792.3,
201110,Van Ness-UDC,PM Peak,1832.6,
201110,Vienna,AM Peak,10146.5,
201110,Vienna,Evening,561.3,
201110,Vienna,Late Night Peak,9.9,
201110,Vienna,Midday,1963.4,
201110,Vienna,PM Peak,1332.1,
201110,Virginia Square-GMU,AM Peak,1829.2,
201110,Virginia Square-GMU,Evening,402.7,
201110,Virginia Square-GMU,Late Night Peak,7.9,
201110,Virginia Square-GMU,Midday,731.6,
201110,Virginia Square-GMU,PM Peak,1089.2,
201110,Waterfront,AM Peak,1357.1,
201110,Waterfront,Evening,498.5,
201110,Waterfront,Late Night Peak,9.6,
201110,Waterfront,Midday,1063.5,
201110,Waterfront,PM Peak,1316.6,
201110,West Falls Church,AM Peak,7208.2,
201110,West Falls Church,Evening,551.8,
201110,West Falls Church,Late Night Peak,3.9,
201110,West Falls Church,Midday,1593.1,
201110,West Falls Church,PM Peak,1741,
