DATEMONTHINT,STATION,PERIOD,RIDERS_PER_WEEKDAY,
201009,Farragut North,Midday,3854.1,
201009,Farragut North,PM Peak,14635,
201009,Farragut West,AM Peak,1266.9,
201009,Farragut West,Evening,3851,
201009,Farragut West,Late Night Peak,101,
201009,Farragut West,Midday,3550.6,
201009,Farragut West,PM Peak,13860,
201009,Federal Center SW,AM Peak,430.4,
201009,Federal Center SW,Evening,466.2,
201009,Federal Center SW,Late Night Peak,4,
201009,Federal Center SW,Midday,1075.7,
201009,Federal Center SW,PM Peak,3888.8,
201009,Federal Triangle,AM Peak,213,
201009,Federal Triangle,Evening,1091.5,
201009,Federal Triangle,Late Night Peak,12.5,
201009,Federal Triangle,Midday,1702.9,
201009,Federal Triangle,PM Peak,7157,
201009,Foggy Bottom,AM Peak,2219.8,
201009,Foggy Bottom,Evening,4911.3,
201009,Foggy Bottom,Late Night Peak,161.1,
201009,Foggy Bottom,Midday,4027.5,
201009,Foggy Bottom,PM Peak,10586.2,
201009,Forest Glen,AM Peak,1622.1,
201009,Forest Glen,Evening,94.7,
201009,Forest Glen,Late Night Peak,2.9,
201009,Forest Glen,Midday,351.8,
201009,Forest Glen,PM Peak,256.9,
201009,Fort Totten,AM Peak,3683.7,
201009,Fort Totten,Evening,622.6,
201009,Fort Totten,Late Night Peak,22.9,
201009,Fort Totten,Midday,1526.8,
201009,Fort Totten,PM Peak,1359.7,
201009,Franconia-Springfield,AM Peak,6600.9,
201009,Franconia-Springfield,Evening,321.3,
201009,Franconia-Springfield,Late Night Peak,4.1,
201009,Franconia-Springfield,Midday,1526.7,
201009,Franconia-Springfield,PM Peak,783.1,
201009,Friendship Heights,AM Peak,3336.5,
201009,Friendship Heights,Evening,1276.8,
201009,Friendship Heights,Late Night Peak,33.4,
201009,Friendship Heights,Midday,2074.2,
201009,Friendship Heights,PM Peak,2619.5,
201009,Gallery Place-Chinatown,AM Peak,1673,
201009,Gallery Place-Chinatown,Evening,6951.6,
201009,Gallery Place-Chinatown,Late Night Peak,370.3,
201009,Gallery Place-Chinatown,Midday,4426.1,
201009,Gallery Place-Chinatown,PM Peak,11628.1,
201009,Georgia Avenue-Petworth,AM Peak,2171.9,
201009,Georgia Avenue-Petworth,Evening,628.8,
201009,Georgia Avenue-Petworth,Late Night Peak,26.3,
201009,Georgia Avenue-Petworth,Midday,1255.4,
201009,Georgia Avenue-Petworth,PM Peak,1342.6,
201009,Glenmont,AM Peak,4142.1,
201009,Glenmont,Evening,213.2,
201009,Glenmont,Late Night Peak,5.1,
201009,Glenmont,Midday,896.4,
201009,Glenmont,PM Peak,487.4,
201009,Greenbelt,AM Peak,4397,
201009,Greenbelt,Evening,399.5,
201009,Greenbelt,Late Night Peak,8.4,
201009,Greenbelt,Midday,1277.7,
201009,Greenbelt,PM Peak,912,
201009,Grosvenor,AM Peak,3795,
201009,Grosvenor,Evening,287,
201009,Grosvenor,Late Night Peak,7.3,
201009,Grosvenor,Midday,881.4,
201009,Grosvenor,PM Peak,741.9,
201009,Huntington,AM Peak,6341.6,
201009,Huntington,Evening,285,
201009,Huntington,Late Night Peak,7.1,
201009,Huntington,Midday,1356.8,
201009,Huntington,PM Peak,778.3,
201009,Judiciary Square,AM Peak,479.5,
201009,Judiciary Square,Evening,924.2,
201009,Judiciary Square,Late Night Peak,11.9,
201009,Judiciary Square,Midday,2294.4,
201009,Judiciary Square,PM Peak,6140,
201009,King Street,AM Peak,3036.8,
201009,King Street,Evening,1093.2,
201009,King Street,Late Night Peak,35.6,
201009,King Street,Midday,1817.7,
201009,King Street,PM Peak,2805.1,
201009,L'Enfant Plaza,AM Peak,2883,
201009,L'Enfant Plaza,Evening,1733.9,
201009,L'Enfant Plaza,Late Night Peak,18.6,
201009,L'Enfant Plaza,Midday,3746.9,
201009,L'Enfant Plaza,PM Peak,13885.6,
201009,Landover,AM Peak,1720.5,
201009,Landover,Evening,124.5,
201009,Landover,Late Night Peak,4.3,
201009,Landover,Midday,439.6,
201009,Landover,PM Peak,205.3,
201009,Largo Town Center,AM Peak,3487.3,
201009,Largo Town Center,Evening,360.1,
201009,Largo Town Center,Late Night Peak,9.7,
201009,Largo Town Center,Midday,898.4,
201009,Largo Town Center,PM Peak,617.5,
201009,McPherson Square,AM Peak,1629.3,
201009,McPherson Square,Evening,2174.7,
201009,McPherson Square,Late Night Peak,69.4,
201009,McPherson Square,Midday,2703.5,
201009,McPherson Square,PM Peak,9931,
201009,Medical Center,AM Peak,1015.4,
201009,Medical Center,Evening,635,
201009,Medical Center,Late Night Peak,5.5,
201009,Medical Center,Midday,906.7,
201009,Medical Center,PM Peak,3028,
201009,Metro Center,AM Peak,1609,
201009,Metro Center,Evening,5715.6,
201009,Metro Center,Late Night Peak,153.9,
201009,Metro Center,Midday,4997.7,
201009,Metro Center,PM Peak,16000.6,
201009,Minnesota Avenue,AM Peak,1214.8,
201009,Minnesota Avenue,Evening,315.8,
201009,Minnesota Avenue,Late Night Peak,13.1,
201009,Minnesota Avenue,Midday,811.3,
201009,Minnesota Avenue,PM Peak,801.8,
201009,Morgan Blvd.,AM Peak,1111.2,
201009,Morgan Blvd.,Evening,71.9,
201009,Morgan Blvd.,Late Night Peak,1.9,
201009,Morgan Blvd.,Midday,282.1,
201009,Morgan Blvd.,PM Peak,187.3,
201009,Mt. Vernon Square-UDC,AM Peak,1076.1,
201009,Mt. Vernon Square-UDC,Evening,608.1,
201009,Mt. Vernon Square-UDC,Late Night Peak,25.3,
201009,Mt. Vernon Square-UDC,Midday,789.5,
201009,Mt. Vernon Square-UDC,PM Peak,1303.5,
201009,Navy Yard,AM Peak,995.3,
201009,Navy Yard,Evening,2932.5,
201009,Navy Yard,Late Night Peak,17.1,
201009,Navy Yard,Midday,1223.1,
201009,Navy Yard,PM Peak,3748.3,
201009,Naylor Road,AM Peak,1860.6,
201009,Naylor Road,Evening,216.4,
201009,Naylor Road,Late Night Peak,8.7,
201009,Naylor Road,Midday,630.6,
201009,Naylor Road,PM Peak,385.7,
201009,New Carrollton,AM Peak,6871,
201009,New Carrollton,Evening,444.2,
201009,New Carrollton,Late Night Peak,9.5,
201009,New Carrollton,Midday,1676,
201009,New Carrollton,PM Peak,1196.2,
201009,New York Ave,AM Peak,1229.1,
201009,New York Ave,Evening,581.9,
201009,New York Ave,Late Night Peak,32.6,
