"Group.1","Group.2","Group.3","x"
20037,"Tuesday","00",1.31073825503356
20217,"Tuesday","00",1.326875
20373,"Tuesday","00",1.08196721311475
20392,"Tuesday","00",1.05811965811966
20540,"Tuesday","00",1.098125
20001,"Wednesday","00",1.20337904015671
20002,"Wednesday","00",1.07267729521715
20003,"Wednesday","00",1.07160430548437
20004,"Wednesday","00",1.15086206896552
20005,"Wednesday","00",1.28511705685619
20006,"Wednesday","00",1.2339222614841
20007,"Wednesday","00",1.07191072400653
20008,"Wednesday","00",1.06887645286268
20009,"Wednesday","00",1.19932203389831
20010,"Wednesday","00",1.05704526046114
20011,"Wednesday","00",1.04325842696629
20012,"Wednesday","00",1.02877569258266
20015,"Wednesday","00",1.04829545454545
20016,"Wednesday","00",1.08533582089552
20017,"Wednesday","00",1.0470297029703
20018,"Wednesday","00",1.03203371970495
20019,"Wednesday","00",1.03575596816976
20020,"Wednesday","00",1.08558533145275
20024,"Wednesday","00",1.06050516647532
20032,"Wednesday","00",1.03962673611111
20036,"Wednesday","00",1.2375
20037,"Wednesday","00",1.23552036199095
20217,"Wednesday","00",1.245625
20373,"Wednesday","00",1.00975609756098
20392,"Wednesday","00",1.02377049180328
20540,"Wednesday","00",1.108125
20001,"Friday","01",1.20197305101059
20002,"Friday","01",1.05749730312837
20003,"Friday","01",1.01590447154472
20004,"Friday","01",1.12109375
20005,"Friday","01",1.30279605263158
20006,"Friday","01",1.20692041522491
20007,"Friday","01",1.06376195536663
20008,"Friday","01",1.08551842330763
20009,"Friday","01",1.2721632196758
20010,"Friday","01",1.07286184210526
20011,"Friday","01",1.02312345955635
20012,"Friday","01",1.01491071428571
20015,"Friday","01",1.01892045454545
20016,"Friday","01",1.03688073394495
20017,"Friday","01",1.03859649122807
20018,"Friday","01",1.03235294117647
20019,"Friday","01",1.01140508605189
20020,"Friday","01",1.00793429844098
20024,"Friday","01",1.02641083521445
20032,"Friday","01",1.00565552699229
20036,"Friday","01",1.2775
20037,"Friday","01",1.24129464285714
20217,"Friday","01",1.17
20373,"Friday","01",1
20392,"Friday","01",1.0125
20540,"Friday","01",1.00375
20001,"Monday","01",1.27126991791405
20002,"Monday","01",1.16237462727026
20003,"Monday","01",1.10544252288911
20004,"Monday","01",1.22903225806452
20005,"Monday","01",1.32231404958678
20006,"Monday","01",1.25314685314685
20007,"Monday","01",1.16841547429783
20008,"Monday","01",1.1274678111588
20009,"Monday","01",1.28129536571748
20010,"Monday","01",1.15183639398998
20011,"Monday","01",1.06246913580247
20012,"Monday","01",1.09241071428571
20015,"Monday","01",1.03454545454545
20016,"Monday","01",1.09515240543518
20017,"Monday","01",1.08415492957746
20018,"Monday","01",1.07034339229969
20019,"Monday","01",1.09569166882948
20020,"Monday","01",1.06684181415929
20024,"Monday","01",1.0961625282167
20032,"Monday","01",1.09607173356106
20036,"Monday","01",1.274375
20037,"Monday","01",1.26973094170404
20217,"Monday","01",1.299375
20373,"Monday","01",1.09922480620155
20392,"Monday","01",1.12923076923077
20540,"Monday","01",1.129375
20001,"Saturday","01",1.31340009537434
20002,"Saturday","01",1.18058148839691
20003,"Saturday","01",1.05577309236948
20004,"Saturday","01",1.103125
20005,"Saturday","01",1.37777777777778
20006,"Saturday","01",1.20553633217993
20007,"Saturday","01",1.10419947506562
20008,"Saturday","01",1.16722151088348
20009,"Saturday","01",1.3953385127636
20010,"Saturday","01",1.220329218107
20011,"Saturday","01",1.05228392297358
20012,"Saturday","01",1.025
20015,"Saturday","01",1.04142045454545
20016,"Saturday","01",1.08506163886875
20017,"Saturday","01",1.10104821802935
20018,"Saturday","01",1.07241910631741
20019,"Saturday","01",1.02182936202921
20020,"Saturday","01",1.01444596443228
20024,"Saturday","01",1.05734966592428
20032,"Saturday","01",1.01133586177834
20036,"Saturday","01",1.345
20037,"Saturday","01",1.26777777777778
20217,"Saturday","01",1.275
20373,"Saturday","01",1
20392,"Saturday","01",1.04307692307692
20540,"Saturday","01",1.03
20001,"Sunday","01",1.56145833333333
20002,"Sunday","01",1.3764378994165
20003,"Sunday","01",1.19184726522188
20004,"Sunday","01",1.29009009009009
20005,"Sunday","01",1.60336134453782
20006,"Sunday","01",1.38369565217391
20007,"Sunday","01",1.26110192837466
20008,"Sunday","01",1.32245340268747
20009,"Sunday","01",1.64010297482838
20010,"Sunday","01",1.45224006762468
20011,"Sunday","01",1.17682981589582
20012,"Sunday","01",1.09053571428571
20015,"Sunday","01",1.10681818181818
20016,"Sunday","01",1.17387084733109
20017,"Sunday","01",1.25251238499646
20018,"Sunday","01",1.21674615792263
20019,"Sunday","01",1.10102040816327
20020,"Sunday","01",1.0841215247922
20024,"Sunday","01",1.16370967741935
20032,"Sunday","01",1.06146253925527
20036,"Sunday","01",1.536875
20037,"Sunday","01",1.48587962962963
20217,"Sunday","01",1.55875
20373,"Sunday","01",1.03697478991597
20392,"Sunday","01",1.16186440677966
20540,"Sunday","01",1.17625
20001,"Thursday","01",1.12975685063682
20002,"Thursday","01",1.03211346903421
20003,"Thursday","01",1.01366585563666
20004,"Thursday","01",1.10065789473684
20005,"Thursday","01",1.21195219123506
20006,"Thursday","01",1.17094017094017
20007,"Thursday","01",1.06069906223359
20008,"Thursday","01",1.0382796435915
20009,"Thursday","01",1.12579489476041
20010,"Thursday","01",1.04066889632107
20011,"Thursday","01",1.01748477248298
20012,"Thursday","01",1.01507142857143
20015,"Thursday","01",1.01368181818182
20016,"Thursday","01",1.04530191458027
20017,"Thursday","01",1.02539325842697
20018,"Thursday","01",1.02544550352259
20019,"Thursday","01",1.01275668948351
20020,"Thursday","01",1.01847826086957
20024,"Thursday","01",1.02617753623188
20032,"Thursday","01",1.0124871001032
20036,"Thursday","01",1.188
20037,"Thursday","01",1.17468581687612
20217,"Thursday","01",1.1465
20373,"Thursday","01",1.01153846153846
20392,"Thursday","01",1.03607594936709
20540,"Thursday","01",1.0155
20001,"Tuesday","01",1.18973607038123
20002,"Tuesday","01",1.10108932461874
20003,"Tuesday","01",1.05359144167091
20004,"Tuesday","01",1.08943089430894
20005,"Tuesday","01",1.25740432612313
20006,"Tuesday","01",1.18245614035088
20007,"Tuesday","01",1.09137931034483
20008,"Tuesday","01",1.07266867211001
20009,"Tuesday","01",1.2030985915493
20010,"Tuesday","01",1.05727051177904
20011,"Tuesday","01",1.03508614902663
20012,"Tuesday","01",1.02008928571429
20015,"Tuesday","01",1.02801136363636
20016,"Tuesday","01",1.08115568641884
20017,"Tuesday","01",1.05390516039052
20018,"Tuesday","01",1.0540176257128
20019,"Tuesday","01",1.02138925294889
20020,"Tuesday","01",1.01776463963964
20024,"Tuesday","01",1.05767494356659
20032,"Tuesday","01",1.03178571428571
20036,"Tuesday","01",1.22875
20037,"Tuesday","01",1.19932735426009
20217,"Tuesday","01",1.22
20373,"Tuesday","01",1.02280701754386
20392,"Tuesday","01",1.04132231404959
20540,"Tuesday","01",1.085
20001,"Wednesday","01",1.12905109489051
20002,"Wednesday","01",1.01941401971522
20003,"Wednesday","01",1.0091509913574
20004,"Wednesday","01",1.112
20005,"Wednesday","01",1.22558139534884
20006,"Wednesday","01",1.18912280701754
20007,"Wednesday","01",1.04808625336927
20008,"Wednesday","01",1.05857327030511
20009,"Wednesday","01",1.17407199100112
20010,"Wednesday","01",1.05497026338148
20011,"Wednesday","01",1.01868403323602
20012,"Wednesday","01",1.01071428571429
20015,"Wednesday","01",1.03909090909091
20016,"Wednesday","01",1.03687943262411
20017,"Wednesday","01",1.03091037402964
20018,"Wednesday","01",1.02370095440085
20019,"Wednesday","01",1.00658479226548
20020,"Wednesday","01",1.0071448352257
20024,"Wednesday","01",1.01914893617021
20032,"Wednesday","01",1.00604490500864
20036,"Wednesday","01",1.2075
20037,"Wednesday","01",1.19119638826185
20217,"Wednesday","01",1.131875
20373,"Wednesday","01",1
20392,"Wednesday","01",1.01129032258065
20540,"Wednesday","01",1.001875
20001,"Friday","02",1.17219488188976
20002,"Friday","02",1.04468965517241
20003,"Friday","02",1.02564366632338
20004,"Friday","02",1.16434782608696
20005,"Friday","02",1.28476821192053
20006,"Friday","02",1.24765342960289
20007,"Friday","02",1.05678336980306
20008,"Friday","02",1.06234327712927
20009,"Friday","02",1.20885860306644
20010,"Friday","02",1.05979643765903
20011,"Friday","02",1.01551066217733
20012,"Friday","02",1.00982142857143
20015,"Friday","02",1.01619318181818
20016,"Friday","02",1.04250281848929
20017,"Friday","02",1.03712067748765
20018,"Friday","02",1.03287380699894
20019,"Friday","02",1.03396276595745
20020,"Friday","02",1.02508532423208
20024,"Friday","02",1.03837342497136
20032,"Friday","02",1.01774409273295
20036,"Friday","02",1.245
20037,"Friday","02",1.20859728506787
20217,"Friday","02",1.210625
20373,"Friday","02",1.00973451327434
20392,"Friday","02",1.01596638655462
20540,"Friday","02",1.025625
20001,"Monday","02",1.18619186046512
20002,"Monday","02",1.07054495912807
20003,"Monday","02",1.04705284552846
20004,"Monday","02",1.1632
20005,"Monday","02",1.22899505766063
20006,"Monday","02",1.21743772241993
20007,"Monday","02",1.07232772653283
20008,"Monday","02",1.07326180257511
20009,"Monday","02",1.21382204812535
20010,"Monday","02",1.10199501246883
20011,"Monday","02",1.02289562289562
20012,"Monday","02",1.013125
20015,"Monday","02",1.01653409090909
20016,"Monday","02",1.04953652206155
20017,"Monday","02",1.04792107117689
20018,"Monday","02",1.04450836820084
20019,"Monday","02",1.05732984293194
20020,"Monday","02",1.04872798434442
20024,"Monday","02",1.06166854565953
20032,"Monday","02",1.083203125
20036,"Monday","02",1.21625
20037,"Monday","02",1.21159090909091
20217,"Monday","02",1.179375
20373,"Monday","02",1.07868852459016
20392,"Monday","02",1.03387096774194
20540,"Monday","02",1.04
20001,"Saturday","02",1.50601874691663
20002,"Saturday","02",1.27616926503341
20003,"Saturday","02",1.10441251924064
20004,"Saturday","02",1.17241379310345
20005,"Saturday","02",1.58525963149079
20006,"Saturday","02",1.34516129032258
20007,"Saturday","02",1.15751238304898
20008,"Saturday","02",1.273757025508
20009,"Saturday","02",1.60641833810888
20010,"Saturday","02",1.45514333895447
20011,"Saturday","02",1.16427929950606
20012,"Saturday","02",1.06133928571429
20015,"Saturday","02",1.10965909090909
20016,"Saturday","02",1.14624579753455
20017,"Saturday","02",1.19824684431978
20018,"Saturday","02",1.17824933687003
20019,"Saturday","02",1.0508064516129
20020,"Saturday","02",1.07099628889523
20024,"Saturday","02",1.10034324942792
20032,"Saturday","02",1.04491978609626
20036,"Saturday","02",1.4775
20037,"Saturday","02",1.40787037037037
20217,"Saturday","02",1.453125
20373,"Saturday","02",1.01228070175439
20392,"Saturday","02",1.11140350877193
20540,"Saturday","02",1.05875
20001,"Sunday","02",1.83684964200477
20002,"Sunday","02",1.6637712435932
20003,"Sunday","02",1.32714429868819
20004,"Sunday","02",1.31484375
20005,"Sunday","02",1.90673234811166
20006,"Sunday","02",1.5
20007,"Sunday","02",1.32614654717976
20008,"Sunday","02",1.53272184300341
20009,"Sunday","02",2.01942125765164
20010,"Sunday","02",1.72977667493797
20011,"Sunday","02",1.30488460676675
20012,"Sunday","02",1.16741071428571
20015,"Sunday","02",1.19482954545455
20016,"Sunday","02",1.2864530225783
20017,"Sunday","02",1.46856540084388
20018,"Sunday","02",1.59545689210119
20019,"Sunday","02",1.18197689345315
20020,"Sunday","02",1.17786343612335
20024,"Sunday","02",1.22082405345212
20032,"Sunday","02",1.10951571792693
20036,"Sunday","02",1.795
20037,"Sunday","02",1.68430493273543
20217,"Sunday","02",1.8475
20373,"Sunday","02",1.10300751879699
20392,"Sunday","02",1.26230769230769
20540,"Sunday","02",1.235
20001,"Thursday","02",1.12929961089494
20002,"Thursday","02",1.02544779379642
20003,"Thursday","02",1.02347188264059
20004,"Thursday","02",1.18039215686275
20005,"Thursday","02",1.21912928759894
20006,"Thursday","02",1.24886363636364
20007,"Thursday","02",1.10449632511889
20008,"Thursday","02",1.06400550584997
20009,"Thursday","02",1.1636034404708
20010,"Thursday","02",1.04655870445344
20011,"Thursday","02",1.02527413266223
20012,"Thursday","02",1.02435714285714
20015,"Thursday","02",1.02227272727273
20016,"Thursday","02",1.04924039320822
20017,"Thursday","02",1.03993250843645
20018,"Thursday","02",1.03771524569509
20019,"Thursday","02",1.03521274365961
20020,"Thursday","02",1.03355689693718
20024,"Thursday","02",1.02540834845735
20032,"Thursday","02",1.03911234396671
20036,"Thursday","02",1.2295
20037,"Thursday","02",1.23770491803279
20217,"Thursday","02",1.1255
20373,"Thursday","02",1.02903225806452
20392,"Thursday","02",1.10584415584416
20540,"Thursday","02",1.025
20001,"Tuesday","02",1.20304054054054
20002,"Tuesday","02",1.10805187787085
20003,"Tuesday","02",1.05088787417555
20004,"Tuesday","02",1.15040650406504
20005,"Tuesday","02",1.28210180623974
20006,"Tuesday","02",1.24230769230769
20007,"Tuesday","02",1.06347177848775
20008,"Tuesday","02",1.06739409499358
20009,"Tuesday","02",1.21316964285714
20010,"Tuesday","02",1.07875816993464
20011,"Tuesday","02",1.03519803087939
20012,"Tuesday","02",1.02008928571429
20015,"Tuesday","02",1.02960227272727
20016,"Tuesday","02",1.05745614035088
20017,"Tuesday","02",1.06841369671558
